Market Value,Sale Price,Difference
296700,420000,123300
273333,285500,12167
124778,165000,40222
170000,190400,20400
181793,276000,94207
154400,200000,45600
261300,292000,30700
153625,159695,6070
140000,137000,-3000
157000,158000,1000
497460,502420,4960
161900,165000,3100
195500,195500,0
119800,183900,64100
191489,170000,-21489
206900,226500,19600
193000,215000,22000
118000,116000,-2000
105000,168000,63000
342400,341500,-900
106300,151000,44700
96250,110000,13750
52000,90000,38000
262500,332750,70250
270100,379900,109800
104900,109900,5000
283200,335000,51800
251250,305000,53750
145600,123000,-22600
558100,625000,66900
176900,245000,68100
355400,330500,-24900
262500,240000,-22500
100375,118000,17625
111600,196100,84500
184600,195000,10400
206300,230000,23700
488700,605000,116300
99800,132000,32200
150500,185000,34500
167875,152000,-15875
298500,420000,121500
155000,195000,40000
220800,231000,10200
194247,260000,65753
